client,purchase_date,product,price
Norma Fisher,2022-08-9,Vacuum cleaner,121
Norma Fisher,2022-08-13,Microwave oven,348
Norma Fisher,2022-08-12,Phone,1126
Jorge Sullivan,2022-08-10,Microwave oven,171
Elizabeth Woods,2022-08-26,TV,1766
Susan Wagner,2022-08-26,Microwave oven,461
Susan Wagner,2022-08-5,Microwave oven,561
Peter Montgomery,2022-08-3,TV,1994
Peter Montgomery,2022-08-16,coffee machine,2804
Stephanie Collins,2022-08-20,Vacuum cleaner,403
Stephanie Collins,2022-08-18,coffee machine,1775
Stephanie Sutton,2022-08-9,Vacuum cleaner,613
Stephanie Sutton,2022-08-30,TV,2148
Stephanie Sutton,2022-08-1,Microwave oven,568
Susan Levy,2022-08-20,coffee machine,109
Susan Levy,2022-08-8,Vacuum cleaner,421
Susan Levy,2022-08-23,coffee machine,2764
Kimberly Smith,2022-08-8,Microwave oven,213
Jennifer Summers,2022-08-3,Microwave oven,329
Dana Nguyen,2022-08-16,Microwave oven,577
Dana Nguyen,2022-08-18,TV,1117
Cheryl Bradley,2022-08-18,coffee machine,1122
Cheryl Bradley,2022-08-7,Phone,1256
Walter Pratt,2022-08-20,Vacuum cleaner,173
Walter Pratt,2022-08-19,Vacuum cleaner,404
Bobby Flores,2022-08-7,Phone,526
Tasha Rodriguez,2022-08-22,TV,1754
Michelle Kelley,2022-08-3,Vacuum cleaner,150
Michelle Kelley,2022-08-29,coffee machine,1166
Kimberly Maynard,2022-08-3,TV,2225
Laurie Wallace,2022-08-9,coffee machine,4397
Laurie Wallace,2022-08-8,Microwave oven,515
Laurie Wallace,2022-08-19,Laptop,3283
Janice Johnston,2022-08-15,Microwave oven,240
Janice Johnston,2022-08-21,Vacuum cleaner,756
Janice Johnston,2022-08-3,coffee machine,3027
Collin Lopez,2022-08-16,Microwave oven,159
Collin Lopez,2022-08-11,Microwave oven,422
Mary Alvarez,2022-08-24,Laptop,566
Peter Mcdowell,2022-08-8,TV,1944
Peter Mcdowell,2022-08-11,Phone,499
Sarah Villanueva,2022-08-26,TV,706
Sarah Villanueva,2022-08-8,Laptop,3357
Sarah Villanueva,2022-08-19,TV,2173
Lauren Hayes,2022-08-19,Microwave oven,525
Angela Salazar,2022-08-27,TV,1258
Angela Salazar,2022-08-20,TV,574
Angela Salazar,2022-08-6,TV,898
Faith Cabrera,2022-08-26,Laptop,3478
Faith Cabrera,2022-08-22,TV,2418
Faith Cabrera,2022-08-14,TV,1614
Kenneth Kent,2022-08-3,TV,952
Kenneth Kent,2022-08-12,coffee machine,2566
Melanie Johnson,2022-08-17,Laptop,750
Melanie Johnson,2022-08-20,Vacuum cleaner,120
Melanie Johnson,2022-08-13,TV,1932
Lisa Johnston,2022-08-29,Phone,884
Jacob Hooper,2022-08-23,Microwave oven,186
Jacob Hooper,2022-08-25,coffee machine,1766
Jacob Hooper,2022-08-22,TV,2115
Alex Woodward,2022-08-17,Laptop,1902
Caleb Clark,2022-08-30,TV,1722
Caleb Clark,2022-08-6,Vacuum cleaner,761
Brian Green,2022-08-29,coffee machine,3457
Brian Green,2022-08-17,Microwave oven,547
Brian Green,2022-08-12,Phone,1479
Matthew Bell,2022-08-5,coffee machine,2155
Matthew Bell,2022-08-1,Microwave oven,453
Matthew Bell,2022-08-11,Vacuum cleaner,160
William Gonzalez,2022-08-25,Laptop,1483
William Gonzalez,2022-08-20,Vacuum cleaner,440
Nicholas Massey,2022-08-19,coffee machine,3042
Nicholas Massey,2022-08-23,coffee machine,1184
Caroline Chambers,2022-08-27,Vacuum cleaner,504
Caroline Chambers,2022-08-1,coffee machine,761
Amy Lowe,2022-08-6,coffee machine,2839
Gloria King,2022-08-15,Laptop,3110
Jessica Thompson,2022-08-28,coffee machine,4754
Jessica Thompson,2022-08-13,Vacuum cleaner,112
Jessica Thompson,2022-08-14,coffee machine,4748
Emily Howard,2022-08-9,Vacuum cleaner,145
Danielle Castro,2022-08-29,Vacuum cleaner,620
Patrick Rogers,2022-08-25,Microwave oven,409
Patrick Rogers,2022-08-2,TV,2310
Patrick Rogers,2022-08-10,Vacuum cleaner,413
Douglas Allen,2022-08-27,TV,2156
Douglas Allen,2022-08-18,Vacuum cleaner,272
Douglas Allen,2022-08-27,coffee machine,783
Heather Roberts,2022-08-22,TV,1322
Travis Schultz,2022-08-7,Phone,156
Travis Schultz,2022-08-25,TV,1969
Travis Schultz,2022-08-22,TV,2184
Matthew Smith,2022-08-21,TV,1745
George Allen,2022-08-23,Phone,723
Jamie Hutchinson,2022-08-28,TV,1474
Jennifer Morales,2022-08-1,coffee machine,766
Jennifer Morales,2022-08-26,Phone,1077
Jennifer Morales,2022-08-9,TV,2264
Jennifer Bates,2022-08-27,coffee machine,4366
Jeremy Green,2022-08-5,TV,2285
Jeremy Green,2022-08-2,Phone,188
Nicole Henson,2022-08-18,coffee machine,2227
Robin Lopez,2022-08-30,Phone,1312
Robin Lopez,2022-08-24,TV,2233
Michael Stewart,2022-08-21,coffee machine,3857
Michael Stewart,2022-08-28,Vacuum cleaner,461
Michael Stewart,2022-08-7,Microwave oven,191
Mitchell Smith,2022-08-1,Microwave oven,249
Mitchell Smith,2022-08-9,Laptop,1118
Mitchell Smith,2022-08-26,Phone,841
Kelsey Davis,2022-08-11,coffee machine,867
Kelsey Davis,2022-08-2,Microwave oven,118
Matthew Russo,2022-08-19,Laptop,1112
Matthew Russo,2022-08-13,Phone,889
William Garcia,2022-08-16,Phone,385
Jennifer Miller,2022-08-6,TV,1130
Brandi Meyer,2022-08-10,Vacuum cleaner,416
Brandi Meyer,2022-08-4,Vacuum cleaner,191
Hannah Wiggins,2022-08-27,Vacuum cleaner,425
Hannah Wiggins,2022-08-16,Phone,404
Hannah Wiggins,2022-08-16,TV,1932
Albert Williams,2022-08-11,TV,1118
Albert Williams,2022-08-30,coffee machine,1375
Albert Williams,2022-08-19,Laptop,3067
Kristin Potts,2022-08-3,coffee machine,812
Kristin Potts,2022-08-24,TV,905
Kristin Potts,2022-08-13,Laptop,750
Stephanie Bowman,2022-08-10,Microwave oven,365
Stephanie Bowman,2022-08-26,Vacuum cleaner,580
Stephanie Bowman,2022-08-22,Microwave oven,465
Joshua Clark,2022-08-12,Vacuum cleaner,165
Alexa Hernandez,2022-08-25,Phone,1348
Richard Higgins,2022-08-12,Vacuum cleaner,276
David Williams,2022-08-4,coffee machine,1752
David Williams,2022-08-9,Vacuum cleaner,487
David Williams,2022-08-2,Laptop,3125
Joseph Jones,2022-08-4,Microwave oven,174
Gary Perry,2022-08-12,Vacuum cleaner,467
Terry Wells,2022-08-16,TV,1721
Vanessa Cooper,2022-08-21,Microwave oven,307
Michael Simmons,2022-08-22,Microwave oven,353
Michael Simmons,2022-08-16,Phone,1170
Michael Simmons,2022-08-18,coffee machine,1754
Nicholas Kline,2022-08-23,TV,1196
Lori Bennett,2022-08-17,Phone,222
Lori Bennett,2022-08-20,Laptop,1552
Margaret Jones,2022-08-10,Vacuum cleaner,676
Paul Brown,2022-08-3,TV,2138
Paul Brown,2022-08-30,Microwave oven,544
Paul Brown,2022-08-8,TV,635
James Stone,2022-08-1,TV,1115
John Richards,2022-08-26,Phone,479
John Richards,2022-08-15,Laptop,3187
John Richards,2022-08-13,Phone,1184
Barbara Sanders,2022-08-18,Laptop,1686
Barbara Sanders,2022-08-27,Microwave oven,313
Barbara Sanders,2022-08-20,Vacuum cleaner,477
Andrew Gould,2022-08-29,TV,1845
Joshua Hernandez,2022-08-19,Phone,1188
Sherry Simpson,2022-08-16,Phone,284
Sherry Simpson,2022-08-25,Phone,770
Erica Jimenez,2022-08-2,Vacuum cleaner,472
Erica Jimenez,2022-08-30,Laptop,3125
Erica Jimenez,2022-08-10,Laptop,1478
Victor Nolan,2022-08-2,TV,2428
Victor Nolan,2022-08-5,Vacuum cleaner,507
Amanda Hernandez,2022-08-3,Microwave oven,467
Amanda Hernandez,2022-08-26,coffee machine,1340
Amanda Hernandez,2022-08-2,Phone,992
Richard Kirby,2022-08-2,Vacuum cleaner,549
Richard Kirby,2022-08-25,TV,1464
Richard Kirby,2022-08-2,Laptop,582
Michelle Roman,2022-08-4,coffee machine,2753
Bradley Melton,2022-08-26,Laptop,2070
Bradley Melton,2022-08-29,Vacuum cleaner,193
Ryan Rivera,2022-08-30,Microwave oven,423
Ryan Rivera,2022-08-4,Phone,1482
Ryan Rivera,2022-08-26,coffee machine,2527
Charles Douglas,2022-08-30,Vacuum cleaner,380
Laura Gregory,2022-08-13,TV,2101
Norma Mooney,2022-08-15,Phone,540
Norma Mooney,2022-08-3,Phone,1444
Norma Mooney,2022-08-30,TV,2347
Linda Petersen,2022-08-17,Phone,204
Linda Petersen,2022-08-19,coffee machine,4763
Linda Petersen,2022-08-3,Laptop,1440
Rebecca Sandoval,2022-08-4,Microwave oven,256
Rebecca Sandoval,2022-08-29,Laptop,2244
Rebecca Sandoval,2022-08-30,Microwave oven,316
Elizabeth Russell,2022-08-14,TV,703
Elizabeth Russell,2022-08-26,Laptop,625
Elizabeth Russell,2022-08-22,Vacuum cleaner,521
Amy Davidson,2022-08-30,TV,1517
Amy Davidson,2022-08-3,Phone,667
Amy Davidson,2022-08-4,Phone,294
Dustin Greer,2022-08-12,coffee machine,340
Dustin Greer,2022-08-1,Phone,514
Andrew Butler,2022-08-20,Phone,294
William Jenkins,2022-08-7,Laptop,513
Lorraine Garcia,2022-08-30,Phone,200
Lorraine Garcia,2022-08-28,Microwave oven,219
Hannah Reyes,2022-08-4,Laptop,2359
Katherine Ibarra,2022-08-5,Phone,678
Katherine Ibarra,2022-08-7,TV,2479
Katherine Ibarra,2022-08-16,Phone,836
Julie Chen,2022-08-21,Phone,1282
Julie Chen,2022-08-19,Phone,526
Rebecca Stark,2022-08-29,Laptop,2042
Rebecca Stark,2022-08-26,Laptop,1012
Melanie Patrick,2022-08-8,Phone,1191
Rachel Lopez,2022-08-12,Laptop,1692
Jill Sherman,2022-08-28,coffee machine,478
Jill Sherman,2022-08-1,Laptop,2962
Jill Sherman,2022-08-23,Vacuum cleaner,159
Timothy Tucker,2022-08-18,Vacuum cleaner,386
Theresa Estrada,2022-08-19,coffee machine,1265
Theresa Estrada,2022-08-21,Vacuum cleaner,385
Theresa Estrada,2022-08-8,Phone,323
Cindy Davis,2022-08-21,coffee machine,3124
Cindy Davis,2022-08-13,Microwave oven,129
Cindy Davis,2022-08-14,Vacuum cleaner,88
Stacy Chan,2022-08-12,Vacuum cleaner,288
Stacy Chan,2022-08-3,Phone,1114
Jennifer Torres,2022-08-4,TV,1067
Jeffery Knight,2022-08-30,coffee machine,3754
Taylor Perry,2022-08-14,Laptop,2227
Taylor Perry,2022-08-15,Laptop,1515
Taylor Perry,2022-08-5,Phone,1221
Raymond Navarro,2022-08-21,Vacuum cleaner,726
Raymond Navarro,2022-08-25,TV,1489
Jeremy Parks,2022-08-27,Phone,153
Thomas Rivers,2022-08-1,Microwave oven,336
Thomas Rivers,2022-08-4,Laptop,1722
Thomas Rivers,2022-08-18,coffee machine,2567
Angela Jones,2022-08-3,Vacuum cleaner,562
Allen Bailey,2022-08-25,Laptop,2727
Allen Bailey,2022-08-21,Vacuum cleaner,366
Allen Bailey,2022-08-9,TV,747
Michael Mays,2022-08-29,Vacuum cleaner,618
Michael Mays,2022-08-13,Microwave oven,463
Adam Wood,2022-08-9,TV,2028
Adam Wood,2022-08-28,Phone,730
Adam Wood,2022-08-20,coffee machine,1705
John Carter,2022-08-11,Phone,1242
John Carter,2022-08-28,TV,1585
Tina Fields,2022-08-14,Laptop,778
Willie Garcia,2022-08-5,Phone,1214
Willie Garcia,2022-08-21,Microwave oven,367
Brooke Hurst,2022-08-14,Microwave oven,153
Regina Stewart,2022-08-10,coffee machine,2382
Regina Stewart,2022-08-19,Vacuum cleaner,460
Regina Stewart,2022-08-6,coffee machine,1228
Blake Jones,2022-08-15,Vacuum cleaner,685
Blake Jones,2022-08-22,Laptop,2792
Blake Jones,2022-08-21,Phone,875
Juan Yang,2022-08-7,coffee machine,3500
Juan Yang,2022-08-23,Vacuum cleaner,580
Juan Yang,2022-08-16,Microwave oven,262
Jeremy Wood,2022-08-24,Phone,442
Jeremy Wood,2022-08-29,Vacuum cleaner,133
Jeremy Wood,2022-08-1,Microwave oven,210
Amy Ortiz,2022-08-29,Vacuum cleaner,480
Amy Ortiz,2022-08-17,TV,2233
Rebecca Hill,2022-08-2,TV,1239
Rebecca Hill,2022-08-1,TV,1771
Rebecca Hill,2022-08-23,Phone,1461
Melissa Flynn,2022-08-5,coffee machine,1957
Melissa Flynn,2022-08-7,Microwave oven,247
David Chavez,2022-08-13,Vacuum cleaner,418
David Chavez,2022-08-14,Laptop,1854
David Chavez,2022-08-5,coffee machine,3665
Brenda Ford,2022-08-17,coffee machine,1308
Brenda Ford,2022-08-7,Phone,414
Brenda Ford,2022-08-12,Laptop,2319
Karen Harris,2022-08-13,Vacuum cleaner,583
Karen Harris,2022-08-26,coffee machine,1903
Karen Harris,2022-08-7,Laptop,2299
Edwin Mack,2022-08-21,TV,979
Edwin Mack,2022-08-6,TV,2283
Edwin Mack,2022-08-24,Phone,266
Kimberly Moore,2022-08-10,Laptop,3001
Crystal Gill,2022-08-15,Phone,992
Crystal Gill,2022-08-23,TV,1794
William Martinez,2022-08-16,Microwave oven,332
William Martinez,2022-08-7,Phone,1124
William Martinez,2022-08-2,Phone,694
David Campbell,2022-08-10,Phone,157
Ricky Torres,2022-08-14,TV,2111
Joseph Wright,2022-08-18,Microwave oven,303
Carla Perry,2022-08-11,Vacuum cleaner,277
Jennifer Osborne,2022-08-15,Phone,1247
Jennifer Osborne,2022-08-1,Phone,673
